CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1M_School closing,C1M_Flag,C2M_Workplace closing,C2M_Flag,C3M_Cancel public events,C3M_Flag,C4M_Restrictions on gatherings,C4M_Flag,C5M_Close public transport,C5M_Flag,C6M_Stay at home requirements,C6M_Flag,C7M_Restrictions on internal movement,C7M_Flag,C8EV_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H6M_Flag,H7_Vaccination policy,H7_Flag,H8M_Protection of elderly people,H8M_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
China,CHN,,,NAT_TOTAL,20221231,3,0,1,1,2,0,3,0,1,0,1,0,0,,2,1,0,2,,,2,1,2,2,,0,3,0,5,1,3,0,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,1956071,5250,V,89.35,49.54,61.46,61.31,62.5
Cote d'Ivoire,CIV,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,3,0,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,87941,831,NV,41.41,13.89,23.44,26.79,0
Cameroon,CMR,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,1,1,1,0,,,0,,5,1,0,,2,1,,16-19 yrs,1,0,0,0,5,0,123993,1965,NV,9.78,8.33,13.02,14.88,0
Democratic Republic of Congo,COD,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,2,1,1,0,,0,,,2,1,3,0,,0,3,1,2,1,0,,1,1,,,1,0,2,1,5,0,95173,1462,NV,6.92,25,27.5,31.43,0
Congo,COG,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,3,0,,0,0,,5,1,0,,2,2,16-19 yrs,16-19 yrs,2,2,2,2,5,0,25375,386,NV,10.96,13.89,20.31,23.21,0
Colombia,COL,,,NAT_TOTAL,20221231,1,0,1,1,0,,0,,0,,0,,0,,1,1,0,0,,,2,1,3,0,,0,1,0,5,1,1,1,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,6336660,141881,V,71.09,19.44,27.86,30.06,12.5
Cape Verde,CPV,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,0,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,63200,412,V,52.05,11.11,21.88,25,0
Costa Rica,CRI,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,0,,0,2,1,5,1,0,,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,1,1161687,9072,V,82.82,11.11,21.88,25,0
Cuba,CUB,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,2,1,,0,2,1,5,1,1,1,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,1111993,8530,V,89.22,11.11,25,28.57,0
Cyprus,CYP,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,2,1,2,,,2,1,3,2,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,631111,1258,V,72.1,11.11,40.62,32.14,100
